Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
ABCC10		EST182763, MRP7, SIMRP7	protein-coding gene	ENSG00000124574
ABCC11		MRP8	protein-coding gene	ENSG00000121270
ABCC12		MRP9	protein-coding gene	ENSG00000140798
ABCC13		PRED6, C21orf73, ABCC13P	pseudogene	ENSG00000243064
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	protein-coding gene	ENSG00000101986
ABCD1P1			pseudogene	
ABCD1P2		bA453N3.6	pseudogene	ENSG00000215151
ABCD1P3			pseudogene	ENSG00000261233
ABCD1P4			pseudogene	ENSG00000225293
ABCD1P5			pseudogene	ENSG00000214330
ABCD2	ALDL1	ALDR, ALDRP	protein-coding gene	ENSG00000173208
ABCD3	PXMP1	PMP70, ZWS2	protein-coding gene	ENSG00000117528
ABCD4	PXMP1L	PMP69, P70R, EST352188	protein-coding gene	ENSG00000119688
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	protein-coding gene	ENSG00000164163
ABCF1	ABC50	EST123147	protein-coding gene	ENSG00000204574
ABCF1-DT			non-coding RNA	
ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	protein-coding gene	ENSG00000033050
ABCF2-H2BE1			other	ENSG00000285292
ABCF2P1			pseudogene	ENSG00000242159
ABCF2P2			pseudogene	ENSG00000228769
ABCF3		EST201864	protein-coding gene	ENSG00000161204
ABCG1		ABC8	protein-coding gene	ENSG00000160179
ABCG2		EST157481, MXR, BCRP, ABCP, CD338	protein-coding gene	ENSG00000118777
ABCG4		WHITE2	protein-coding gene	ENSG00000172350
ABCG5		STSL	protein-coding gene	ENSG00000138075
ABCG8		GBD4	protein-coding gene	ENSG00000143921
ABCR			other	
ABHD1		LABH1, FLJ36128	protein-coding gene	ENSG00000143994
ABHD2		LABH2	protein-coding gene	ENSG00000140526
ABHD3		LABH3	protein-coding gene	ENSG00000158201
ABHD4		FLJ12816	protein-coding gene	ENSG00000100439
ABHD5		CGI-58, NCIE2	protein-coding gene	ENSG00000011198
ABHD6			protein-coding gene	ENSG00000163686
ABHD8		FLJ11743, MGC14280, MGC2512	protein-coding gene	ENSG00000127220
ABHD10		FLJ11342	protein-coding gene	ENSG00000144827
ABHD11	WBSCR21	PP1226	protein-coding gene	ENSG00000106077
ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	non-coding RNA	ENSG00000225969
ABHD11-AS2			non-coding RNA	
ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	protein-coding gene	ENSG00000100997
ABHD12B	C14orf29	BEM46L3	protein-coding gene	ENSG00000131969
ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	protein-coding gene	ENSG00000139826
ABHD14A		DKFZP564O243, DORZ1	protein-coding gene	ENSG00000248487
ABHD14A-ACY1			other	ENSG00000114786
ABHD14B		MGC15429, CIB	protein-coding gene	ENSG00000114779
ABHD15			protein-coding gene	ENSG00000168792
ABHD15-AS1		linc-TP53I13, lnc-TP53I13	non-coding RNA	ENSG00000264031
ABHD16A	BAT5	NG26, D6S82E	protein-coding gene	ENSG00000204427
ABHD16B	C20orf135	dJ591C20.1	protein-coding gene	ENSG00000183260
ABHD17A	C19orf27, FAM108A1	MGC5244	protein-coding gene	ENSG00000129968
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	pseudogene	ENSG00000198658
ABHD17AP2	FAM108A3, FAM108A11P, FAM108A3P		pseudogene	
ABHD17AP3	FAM108A4, FAM108A4P		pseudogene	ENSG00000250536
ABHD17AP4	FAM108A5, FAM108A5P		pseudogene	ENSG00000229107
ABHD17AP5	FAM108A6, FAM108A6P		pseudogene	ENSG00000263366
ABHD17AP6	FAM108A7P		pseudogene	ENSG00000226981
ABHD17AP7	FAM108A8P		pseudogene	ENSG00000260864
ABHD17AP8	FAM108A9P		pseudogene	ENSG00000260540
ABHD17AP9	FAM108A10P		pseudogene	ENSG00000261536
ABHD17B	C9orf77, FAM108B1	CGI-67	protein-coding gene	ENSG00000107362
ABHD17C	FAM108C1		protein-coding gene	ENSG00000136379
ABHD18	C4orf29	FLJ21106	protein-coding gene	ENSG00000164074
ABI1	SSH3BP1	E3B1, ABI-1	protein-coding gene	ENSG00000136754
ABI1P1	SSH3BP1P, ABI1P		pseudogene	ENSG00000271484
ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	protein-coding gene	ENSG00000138443
ABI3		NESH, SSH3BP3	protein-coding gene	ENSG00000108798
ABI3BP		NESHBP, DKFZP586L2024, TARSH	protein-coding gene	ENSG00000154175
ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	protein-coding gene	ENSG00000119328
ABITRAMP1	FAM206BP		pseudogene	ENSG00000251106
ABL1	ABL	JTK7, c-ABL, p150	protein-coding gene	ENSG00000097007
ABL2	ABLL	ARG	protein-coding gene	ENSG00000143322
ABLIM1	LIMAB1, ABLIM	abLIM, limatin	protein-coding gene	ENSG00000099204
ABLIM2		KIAA1808	protein-coding gene	ENSG00000163995
ABLIM3		KIAA0843	protein-coding gene	ENSG00000173210
ABO		A3GALNT, A3GALT1	protein-coding gene	ENSG00000175164
ABR		MDB	protein-coding gene	ENSG00000159842
ABRA		STARS	protein-coding gene	ENSG00000174429
ABRACL	C6orf115	PRO2013, HSPC280, Costars	protein-coding gene	ENSG00000146386
ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	protein-coding gene	ENSG00000163322
ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	protein-coding gene	ENSG00000165660
ABT1		Esf2	protein-coding gene	ENSG00000146109
ABT1P1			pseudogene	ENSG00000250496
ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	protein-coding gene	ENSG00000114626
ABTB2		DKFZP586C1619, BTBD22, ABTB2A	protein-coding gene	ENSG00000166016
ACAA1			protein-coding gene	ENSG00000060971
ACAA2		DSAEC	protein-coding gene	ENSG00000167315
ACACA	ACAC, ACC	ACC1	protein-coding gene	ENSG00000278540
ACACB		HACC275, ACC2, ACCB	protein-coding gene	ENSG00000076555
ACAD			other	
ACAD8			protein-coding gene	ENSG00000151498
ACAD9		NPD002, MGC14452	protein-coding gene	ENSG00000177646
ACAD10		MGC5601	protein-coding gene	ENSG00000111271
ACAD11		FLJ12592	protein-coding gene	ENSG00000240303
ACADL		LCAD, ACAD4	protein-coding gene	ENSG00000115361
ACADM		MCAD, MCADH, ACAD1	protein-coding gene	ENSG00000117054
ACADS		SCAD, ACAD3	protein-coding gene	ENSG00000122971
ACADSB		SBCAD, ACAD7	protein-coding gene	ENSG00000196177
ACADVL		VLCAD, LCACD, ACAD6	protein-coding gene	ENSG00000072778
ACAN	MSK16, CSPG1, AGC1	CSPGCP	protein-coding gene	ENSG00000157766
ACAP1	CENTB1	KIAA0050	protein-coding gene	ENSG00000072818
ACAP2	CENTB2	KIAA0041, CNT-B2	protein-coding gene	ENSG00000114331
ACAP2-IT1			non-coding RNA	ENSG00000229325
ACAP3	CENTB5	KIAA1716	protein-coding gene	ENSG00000131584
ACAT1	ACAT	THIL	protein-coding gene	ENSG00000075239
ACAT2			protein-coding gene	ENSG00000120437
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	protein-coding gene	ENSG00000182827
ACBD3-AS1		RP11-275I14.4	non-coding RNA	ENSG00000234478
ACBD4		FLJ13322	protein-coding gene	ENSG00000181513
ACBD5		DKFZp434A2417, KIAA1996	protein-coding gene	ENSG00000107897
ACBD6		MGC2404	protein-coding gene	ENSG00000230124
ACBD7		FLJ38219, bA455B2.2	protein-coding gene	ENSG00000176244
ACBP			other	
ACC			other	
ACCN			other	
ACCPN			phenotype	
ACCS		PHACS, ACS	protein-coding gene	ENSG00000110455
ACCSL			protein-coding gene	ENSG00000205126
ACD		Ptop, Pip1, Tpp1, Tint1	protein-coding gene	ENSG00000102977
ACE	DCP1	ACE1, CD143	protein-coding gene	ENSG00000159640
ACE2			protein-coding gene	ENSG00000130234
ACE3P			pseudogene	ENSG00000224353
ACER1	ASAH3		protein-coding gene	ENSG00000167769
ACER2	ASAH3L	FLJ41587, ALKCDase2	protein-coding gene	ENSG00000177076
ACER2P1			pseudogene	ENSG00000180105
ACER3	PHCA	FLJ11238, APHC	protein-coding gene	ENSG00000078124
ACH			other	
ACHAP			other	
ACHE	YT		protein-coding gene	ENSG00000087085
ACHM1	RMCH		phenotype	
ACHM2			other	
ACHM3			other	
ACHRD			other	
ACHRG			other	
ACIN1	ACINUS	KIAA0670, fSAP152	protein-coding gene	ENSG00000100813
ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	protein-coding gene	ENSG00000213088
ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	protein-coding gene	ENSG00000144648
ACKR3	CMKOR1, CXCR7	RDC1, GPR159	protein-coding gene	ENSG00000144476
ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	protein-coding gene	ENSG00000129048
ACKR4P1	CCRL1P, CCRL1P1	dJ509I19.4	pseudogene	ENSG00000225415
ACLS			phenotype	
ACLY		ATPCL, CLATP, ACL	protein-coding gene	ENSG00000131473
ACMG			other	
ACMSD			protein-coding gene	ENSG00000153086
ACNATP	BAATP1		pseudogene	ENSG00000227411
ACO1	IREB1	IRP1, IREBP	protein-coding gene	ENSG00000122729
ACO2		ACONM	protein-coding gene	ENSG00000100412
ACOD1	IRG1	CAD	protein-coding gene	ENSG00000102794
ACOT1		ACH2, CTE-1, LACH2	protein-coding gene	ENSG00000184227
ACOT2		Mte1, ZAP128	protein-coding gene	ENSG00000119673
ACOT4		FLJ31235, PTE-Ib, PTE2B	protein-coding gene	ENSG00000177465
ACOT6	C14orf42		protein-coding gene	ENSG00000205669
ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	protein-coding gene	ENSG00000097021
ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	protein-coding gene	ENSG00000101473
ACOT9		CGI-16, MT-ACT48, ACATE2	protein-coding gene	ENSG00000123130
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	protein-coding gene	ENSG00000162390
ACOT12		Cach, THEAL, STARD15	protein-coding gene	ENSG00000172497
ACOT13	THEM2	HT012	protein-coding gene	ENSG00000112304
ACOX1		PALMCOX	protein-coding gene	ENSG00000161533
ACOX2		BRCACOX, BRCOX, THCCox	protein-coding gene	ENSG00000168306
ACOX3			protein-coding gene	ENSG00000087008
ACOXL		FLJ11042	protein-coding gene	ENSG00000153093
ACOXL-AS1			non-coding RNA	ENSG00000204581
ACP1		HAAP, LMW-PTP, LMWPTP	protein-coding gene	ENSG00000143727
ACP2		LAP	protein-coding gene	ENSG00000134575
ACP3	ACPP	ACP-3, PAP, TM-PAP	protein-coding gene	ENSG00000014257
ACP4	ACPT		protein-coding gene	ENSG00000142513
ACP5		TRAP, HPAP	protein-coding gene	ENSG00000102575
ACP6		LPAP, ACPL1	protein-coding gene	ENSG00000162836
ACP7		FLJ16165, PAPL1, PAPL	protein-coding gene	ENSG00000183760
ACR			protein-coding gene	ENSG00000100312
ACRBP		SP32, OY-TES-1, CT23	protein-coding gene	ENSG00000111644
ACRP1			pseudogene	ENSG00000175509
ACRV1		SPACA2, SP-10, D11S4365	protein-coding gene	ENSG00000134940
ACS3			other	
ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	protein-coding gene	ENSG00000103740
ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	protein-coding gene	ENSG00000130377
ACSF2		FLJ20920, ACSMW	protein-coding gene	ENSG00000167107
ACSF3			protein-coding gene	ENSG00000176715
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	protein-coding gene	ENSG00000151726
ACSL3	FACL3	ACS3, PRO2194	protein-coding gene	ENSG00000123983
ACSL3-AS1			non-coding RNA	ENSG00000234193
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	protein-coding gene	ENSG00000068366
ACSL5	FACL5	ACS5, ACS2	protein-coding gene	ENSG00000197142
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	protein-coding gene	ENSG00000164398
ACSL6-AS1			non-coding RNA	ENSG00000223548
ACSM1	BUCS1	MACS1	protein-coding gene	ENSG00000166743
ACSM2A	ACSM2	A-923A4.1, MGC150530	protein-coding gene	ENSG00000183747
ACSM2B	ACSM2	HXMA, HYST1046	protein-coding gene	ENSG00000066813
ACSM3	SAH	SA	protein-coding gene	ENSG00000005187
ACSM4			protein-coding gene	ENSG00000215009
ACSM5		FLJ20581	protein-coding gene	ENSG00000183549
ACSM5P1			pseudogene	ENSG00000260762
ACSM6	C10orf129	bA310E22.3	protein-coding gene	ENSG00000173124
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	protein-coding gene	ENSG00000154930
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	protein-coding gene	ENSG00000131069
ACSS3		FLJ21963	protein-coding gene	ENSG00000111058
ACTA1	ACTA	NEM3	protein-coding gene	ENSG00000143632
ACTA2		ACTSA	protein-coding gene	ENSG00000107796
ACTA2-AS1		uc001kfo.1, ZXF1, UC001kfo	non-coding RNA	ENSG00000180139
ACTA3			other	
ACTB			protein-coding gene	ENSG00000075624
ACTBL2		DKFZp686D0972	protein-coding gene	ENSG00000169067
ACTBP1			pseudogene	ENSG00000229145
ACTBP2			pseudogene	ENSG00000213763
ACTBP3			pseudogene	
ACTBP4			pseudogene	ENSG00000286676
ACTBP5			pseudogene	
ACTBP6			pseudogene	ENSG00000203413
ACTBP7			pseudogene	ENSG00000185607
ACTBP8		ACTBP2	pseudogene	ENSG00000220267
ACTBP9			pseudogene	ENSG00000266920
ACTBP10			pseudogene	
ACTBP11			pseudogene	ENSG00000188460
ACTBP12	ACTGP5		pseudogene	ENSG00000233125
ACTBP13			pseudogene	ENSG00000234667
ACTBP14			pseudogene	ENSG00000229001
ACTBP15			pseudogene	ENSG00000213857
ACTC1	ACTC	CMD1R	protein-coding gene	ENSG00000159251
ACTE1P			pseudogene	ENSG00000172900
ACTG1	ACTG, DFNA20, DFNA26		protein-coding gene	ENSG00000184009
ACTG1P1	ACTGP1, ACT1GP1		pseudogene	ENSG00000178631
ACTG1P2	ACTL2, ACTGP2		pseudogene	ENSG00000229129
ACTG1P3	ACTGP3		pseudogene	ENSG00000215388
ACTG1P4	ACTGP4		pseudogene	ENSG00000236085
ACTG1P6	ACTGP6		pseudogene	
ACTG1P7	ACTGP7		pseudogene	
ACTG1P8	ACTGP8		pseudogene	
ACTG1P9	ACTGP9		pseudogene	ENSG00000229349
ACTG1P10	ACTL1, ACTGP10		pseudogene	ENSG00000231340
ACTG1P11			pseudogene	ENSG00000229465
ACTG1P12			pseudogene	ENSG00000226642
ACTG1P13			pseudogene	ENSG00000241305
ACTG1P14			pseudogene	ENSG00000230581
ACTG1P15			pseudogene	ENSG00000259904
ACTG1P16			pseudogene	ENSG00000260298
ACTG1P17			pseudogene	ENSG00000259315
ACTG1P18			pseudogene	ENSG00000218475
ACTG1P19			pseudogene	ENSG00000237999
ACTG1P20			pseudogene	ENSG00000241547
ACTG1P21			pseudogene	ENSG00000232672
ACTG1P22			pseudogene	ENSG00000271615
ACTG1P23			pseudogene	ENSG00000230362
ACTG1P24	POTENP		pseudogene	ENSG00000226359
ACTG1P25		AGPG	pseudogene	ENSG00000234996
ACTG2	ACTL3, ACTA3	ACTSG	protein-coding gene	ENSG00000163017
ACTL2			other	
ACTL3			other	
ACTL4			other	
ACTL5		ACTFIB	other	
ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	protein-coding gene	ENSG00000136518
ACTL6B	ACTL6	BAF53B	protein-coding gene	ENSG00000077080
ACTL7A			protein-coding gene	ENSG00000187003
ACTL7B		Tact1	protein-coding gene	ENSG00000148156
ACTL8		CT57	protein-coding gene	ENSG00000117148
ACTL9		MGC33407	protein-coding gene	ENSG00000181786
ACTL10	C20orf134		protein-coding gene	ENSG00000182584
ACTN1			protein-coding gene	ENSG00000072110
ACTN1-AS1	C14orf84		non-coding RNA	ENSG00000259062
ACTN2			protein-coding gene	ENSG00000077522
ACTN3			protein-coding gene	ENSG00000248746
ACTN4	FSGS1		protein-coding gene	ENSG00000130402
ACTN4P1			pseudogene	ENSG00000213493
ACTN4P2			pseudogene	ENSG00000214141
ACTP1			pseudogene	ENSG00000229890
ACTR1A		ARP1, Arp1A	protein-coding gene	ENSG00000138107
ACTR1AP1			pseudogene	ENSG00000233370
ACTR1B	CTRN2	Arp1B	protein-coding gene	ENSG00000115073
ACTR2		ARP2	protein-coding gene	ENSG00000138071
ACTR3		ARP3	protein-coding gene	ENSG00000115091
ACTR3-AS1		AC104653.1	non-coding RNA	
ACTR3B		ARP11, ARP3beta	protein-coding gene	ENSG00000133627
ACTR3BP1			pseudogene	ENSG00000270242
ACTR3BP2		FKSG73	pseudogene	ENSG00000226481
ACTR3BP3			pseudogene	ENSG00000260327
ACTR3BP4			pseudogene	ENSG00000249283
ACTR3BP5			pseudogene	ENSG00000227264
ACTR3BP6			pseudogene	ENSG00000280263
ACTR3BP7			pseudogene	ENSG00000226444
ACTR3C		ARP11	protein-coding gene	ENSG00000106526
ACTR3P1			pseudogene	
ACTR3P2			pseudogene	ENSG00000232267
ACTR3P3			pseudogene	ENSG00000242573
ACTR5		FLJ12785, Arp5, INO80M	protein-coding gene	ENSG00000101442
ACTR6		ARP6, FLJ13433	protein-coding gene	ENSG00000075089
ACTR6P1			pseudogene	ENSG00000248915
ACTR8		INO80N, ARP8	protein-coding gene	ENSG00000113812
ACTR10		HARP11, ACTR11, Arp11, Arp10	protein-coding gene	ENSG00000131966
ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1	protein-coding gene	ENSG00000123165
ACTRT2		Arp-T2, ARPM2, FLJ25424	protein-coding gene	ENSG00000169717
ACTRT3		ARPM1	protein-coding gene	ENSG00000184378
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A	protein-coding gene	ENSG00000115170
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	protein-coding gene	ENSG00000135503
ACVR1C		ALK7, ACVRLK7	protein-coding gene	ENSG00000123612
ACVR2A	ACVR2	ACTRII	protein-coding gene	ENSG00000121989
ACVR2B		ActR-IIB	protein-coding gene	ENSG00000114739
ACVR2B-AS1			non-coding RNA	ENSG00000229589
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT	protein-coding gene	ENSG00000139567
ACVRLK2			other	
ACY1			protein-coding gene	ENSG00000243989
ACY1L	ACY1L	AN	pseudogene	
ACY3		HCBP1, MGC9740, ACY-3	protein-coding gene	ENSG00000132744
ACYP1			protein-coding gene	ENSG00000119640
ACYP2			protein-coding gene	ENSG00000170634
AD1			other	
AD2	AD2		phenotype	
AD3			other	
AD4			other	
AD5			phenotype	
ADA			protein-coding gene	ENSG00000196839
ADA2	IDGFL, CECR1	ADGF	protein-coding gene	ENSG00000093072
ADAD1		Tenr	protein-coding gene	ENSG00000164113
ADAD1P1			pseudogene	
ADAD1P2			pseudogene	ENSG00000267511
ADAD2		TENRL, FLJ00337	protein-coding gene	ENSG00000140955
ADAL			protein-coding gene	ENSG00000168803
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	pseudogene	ENSG00000229186
ADAM1B			pseudogene	ENSG00000226469
ADAM2	FTNB	PH-30b, PH30, CT15	protein-coding gene	ENSG00000104755
ADAM3A	CYRN1	ADAM3, tMDCI	pseudogene	ENSG00000197475
ADAM3B	CYRN2		pseudogene	ENSG00000260089
ADAM5	ADAM5P	tMDCII	pseudogene	ENSG00000196115
ADAM6	C14orf96	tMDCIV	pseudogene	ENSG00000271968
ADAM7		GP-83, EAPI	protein-coding gene	ENSG00000069206
ADAM8		CD156, MS2, CD156A	protein-coding gene	ENSG00000151651
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng	protein-coding gene	ENSG00000168615
ADAM10		kuz, MADM, HsT18717, CD156C	protein-coding gene	ENSG00000137845
ADAM11	MDC		protein-coding gene	ENSG00000073670
ADAM12		MCMPMltna, MLTN	protein-coding gene	ENSG00000148848
ADAM12-OT1		CAR10, FLJ31066	non-coding RNA	
ADAM15		MDC15	protein-coding gene	ENSG00000143537
ADAM17	TACE	cSVP, CD156B	protein-coding gene	ENSG00000151694
ADAM18		tMDCIII, ADAM27	protein-coding gene	ENSG00000168619
ADAM19		MLTNB	protein-coding gene	ENSG00000135074
ADAM20			protein-coding gene	ENSG00000134007
ADAM20P1	C14orf55		pseudogene	ENSG00000259158
ADAM20P2			pseudogene	ENSG00000248574
ADAM20P3			pseudogene	ENSG00000249162
ADAM21		ADAM31	protein-coding gene	ENSG00000139985
ADAM21P1	ADAM21P		pseudogene	ENSG00000235812
ADAM22		MDC2	protein-coding gene	ENSG00000008277
ADAM23		MDC3	protein-coding gene	ENSG00000114948
ADAM24P			pseudogene	ENSG00000214607
ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	protein-coding gene	ENSG00000042980
ADAM29		svph1, CT73	protein-coding gene	ENSG00000168594
ADAM30		svph4	protein-coding gene	ENSG00000134249
ADAM32			protein-coding gene	ENSG00000197140
ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1	protein-coding gene	ENSG00000149451
ADAMDEC1		M12.219	protein-coding gene	ENSG00000134028
ADAMTS1		C3-C5, METH1, KIAA1346	protein-coding gene	ENSG00000154734
